city,country,date,temp_max,temp_min,precip_sum,precip_prob_max,weather_code,extracted_at
Ho Chi Minh City,Vietnam,2026-04-06,37.4,25.4,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Ho Chi Minh City,Vietnam,2026-04-07,37.5,26.2,0.0,0,2,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-03-31,36.2,22.9,0.2,0,3,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-01,33.1,23.0,0.0,33,45,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-02,31.2,22.0,0.0,0,45,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-03,33.0,23.1,0.2,3,80,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-04,37.0,24.0,0.0,25,3,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-05,37.2,23.8,0.3,22,3,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-06,39.5,24.5,0.0,4,3,2026-04-01T09:53:09.027697+00:00
Da Nang,Vietnam,2026-04-07,39.0,24.6,0.0,3,3,2026-04-01T09:53:09.027697+00:00
